,countyID,probText
0,3159,
1,9576,
2,7334,
3,6631,
4,10046,
5,1058,
6,3459,
7,5316,
8,15089,
9,4011,
10,5966,
11,9174,
12,8121,
13,12072,
14,7135,
15,9478,
16,5770,
17,15003,
18,12069,
19,8315,
20,5114,
21,5958,
22,8211,
23,9661,
24,9672,
25,9361,
26,7231,
27,5124,
28,5154,
29,8237,
30,8222,
31,6435,
32,8235,
33,6438,
34,9763,
35,15084,
36,15090,
37,6634,
38,3252,
39,5117,
40,15087,
41,8311,
42,9773,
43,5374,
44,3154,
45,9262,
46,9471,
47,15086,
48,3354,
49,9463,
50,9461,
51,6533,
52,16065,
53,3257,
54,9775,
55,8126,
56,6532,
57,5970,
58,9673,
59,6534,
60,6414,
61,5566,
62,8111,
63,15083,
64,7316,
65,7332,
66,16061,
67,9674,
68,3461,
69,7335,
70,5378,
71,16068,
72,7141,
73,9271,
74,16064,
75,5112,
76,8326,
77,16069,
78,5915,
79,6412,
80,3352,
81,4012,
82,7311,
83,9577,
84,12054,
85,9162,
86,3454,
87,3103,
88,10042,
89,12053,
90,6434,
91,6440,
92,12073,
93,5913,
94,12060,
95,6633,
96,8118,
97,9177,
98,6635,
99,9780,
100,8325,
101,3453,
102,7313,
103,3460,
104,7314,
105,9261,
106,3255,
107,6413,
108,8436,
109,9273,
110,7331,
111,5113,
112,9764,
113,5766,
114,8119,
115,3452,
116,6531,
117,7315,
118,9375,
119,8216,
120,16051,
121,3458,
122,16056,
123,9263,
124,2000,
125,15085,
126,8426,
127,12052,
128,16071,
129,16053,
130,9373,
131,1003,
132,16077,
133,16063,
134,6632,
135,1055,
136,1057,
137,1060,
138,12067,
139,12061,
140,9676,
141,3359,
142,7338,
143,7134,
144,6437,
145,9179,
146,14627,
147,14628,
148,14729,
149,14730,
150,9188,
151,9184,
152,9776,
153,8435,
154,9181,
155,15002,
156,15088,
157,9171,
158,9277,
159,9161,
160,9176,
161,9372,
162,16067,
163,9675,
164,9575,
165,9178,
166,9163,
167,9187,
168,3251,
169,8226,
170,8215,
171,7339,
172,7140,
173,8225,
174,1054,
175,9185,
176,10044,
177,8417,
178,8437,
179,7235,
180,9186,
181,9779,
182,16074,
183,8336,
184,16070,
185,6535,
186,9762,
187,12070,
188,12064,
189,6436,
190,3353,
191,8212,
192,5558,
193,3355,
194,3102,
195,3455,
196,9464,
197,3153,
198,16062,
199,7317,
200,7133,
201,7111,
202,8136,
203,8127,
204,8416,
205,16054,
206,16066,
207,5358,
208,3256,
209,8221,
210,9276,
211,9175,
212,8231,
213,5512,
214,5711,
215,9477,
216,12063,
217,6611,
218,5762,
219,8125,
220,12051,
221,8117,
222,7233,
223,1004,
224,3360,
225,1056,
226,9574,
227,9671,
228,8135,
229,7319,
230,1062,
231,6439,
232,7211,
233,5974,
234,9377,
235,7333,
236,7131,
237,6431,
238,9778,
239,9663,
240,9275,
241,6636,
242,8116,
243,5119,
244,3357,
245,7312,
246,1001,
247,1059,
248,14511,
249,14713,
250,9362,
251,14521,
252,14522,
253,8337,
254,9774,
255,5116,
256,5166,
257,5370,
258,5554,
259,5562,
260,12066,
261,9677,
262,7336,
263,9374,
264,9371,
265,5914,
266,5954,
267,9562,
268,5366,
269,3155,
270,5911,
271,9376,
272,8335,
273,8415,
274,8421,
275,3401,
276,5758,
277,6433,
278,9183,
279,3356,
280,16055,
281,3361,
282,9363,
283,9272,
284,3456,
285,8425,
286,7320,
287,7318,
288,3158,
289,8327,
290,5774,
291,5170,
292,5754,
293,3402,
294,3405,
295,3404,
296,3462,
297,16052,
298,9474,
299,9572,
300,3151,
301,3101,
302,9563,
303,7232,
304,5122,
305,12068,
306,12065,
307,12071,
308,15081,
309,9479,
310,1002,
311,5334,
312,7143,
313,7132,
314,9278,
315,9279,
316,9274,
317,9173,
318,9190,
319,10041,
320,8317,
321,8316,
322,5962,
323,9182,
324,6411,
325,5111,
326,5158,
327,5513,
328,5916,
329,9772,
330,9472,
331,3403,
332,3451,
333,3457,
334,5362,
335,14626,
336,5978,
337,7137,
338,7138,
339,9761,
340,9771,
341,10043,
342,10045,
343,9189,
344,3157,
345,3254,
346,3241,
347,1061,
348,1051,
349,9573,
350,9564,
351,8236,
352,8115,
353,9678,
354,9662,
355,9462,
356,5515,
357,5570,
358,5314,
359,5382,
360,5315,
361,15091,
362,5120,
363,14612,
364,14625,
365,7340,
366,7337,
367,5162,
368,6432,
369,9679,
370,8128,
371,3358,
372,3351,
373,9777,
374,9172,
375,12062,
376,15001,
377,15082,
378,9180,
379,9473,
380,16075,
381,14523,
382,9561,
383,14524,
384,16076,
385,16072,
386,16073,
387,9476,
388,9475,
389,9571,
390,1053,
391,9565,
392,13076,
393,13075,
394,13004,
395,13071,
396,13072,
397,13073,
398,13003,
399,13074,
400,11001,
401,11002,
402,11003,
403,11004,
404,11006,
405,11007,
406,11008,
407,11009,
408,11010,
409,11011,
410,11012,
411,11005,
